Department,Course Code,Human Health,Data and Computation,AI,Clean Energy and Materials,Climate,Science and Society,Faculty of Arts: Ways of Knowing,Notes
EOAS,EOSC_V 410,,,,,X,,,
EOAS,EOSC_V 420,,,,,,,,
EOAS,EOSC_V 421,,,,,,,,
EOAS,EOSC_V 425,,,,,,,,
EOAS,EOSC_V 426,,,,,,,,
EOAS,EOSC_V 430,,,,,,,,
EOAS,EOSC_V 433,,,,,,,,
EOAS,EOSC_V 442,,,,,X,,,
EOAS,EOSC_V 445,,,,,,,,
EOAS,EOSC_V 447,,,,,,,,
EOAS,EOSC_V 448,,,,,,,,
EOAS,EOSC_V 449,,,,,,,,
EOAS,EOSC_V 450,,,,,,,,
EOAS,EOSC_V 453,,,,,,,,
EOAS,EOSC_V 470,,,,,X,,,
EOAS,EOSC_V 471,,,,,,,,
EOAS,EOSC_V 472,,,,,X,,,
EOAS,EOSC_V 474,,,,,,,,
EOAS,EOSC_V 475,,,,,,,,
EOAS,EOSC_V 478,,,,,X,,,
EOAS,EOSC_V 498,,,,,,,,
EOAS,EOSC_V 499,,,,,,,,
BIOC,FSCT_V 280,,,,,,,,
BIOC,FSCT_V 380,,,,,,,,
BIOC,FSCT_V 398,,,,,,,,
BIOC,FSCT_V 399,,,,,,,,
BIOC,FSCT_V 480,,,,,,,,
BIOC,FSCT_V 498,,,,,,,,
ISCI,ISCI_V 300,,,,,,,,
ISCI,ISCI_V 312,,,,,,,,
ISCI,ISCI_V 350,x,,,,,,,
ISCI,ISCI_V 360,,,,,,X,,
ISCI,ISCI_V 398,,,,,,,,
ISCI,ISCI_V 399,,,,,,,,
ISCI,ISCI_V 433,,,,,,X,,
ISCI,ISCI_V 448,,,,,,,,
ISCI,ISCI_V 498,,,,,,,,
ISCI,ISCI_V 499,,,,,,,,
MATH,MATH_V 100,,,,,,,,
MATH,MATH_V 110,,,,,,,,
MATH,MATH_V 120,,,,,,,,
MATH,MATH_V 180,,,,,,,,
MATH,MATH_V 190,,,,,,,,
MATH,MATH_V 200,,,,,,,,
MATH,MATH_V 215,,,,,,,,
MATH,MATH_V 217,,,,,,,,
MATH,MATH_V 220,,,,,,,,
MATH,MATH_V 221,,,,,,,,
MATH,MATH_V 223,,,,,,,,
MATH,MATH_V 226,,,,,,,,
MATH,MATH_V 253,,,,,,,,
MATH,MATH_V 255,,,,,,,,
MATH,MATH_V 256,,,,,,,,
MATH,MATH_V 257,,,,,,,,
MATH,MATH_V 258,,,,,,,,
MATH,MATH_V 300,,,,,,,,
MATH,MATH_V 302,,,,,,,,
MATH,MATH_V 307,,,,,,,,
MATH,MATH_V 309,,,,,,,,
MATH,MATH_V 312,,,,,,,,
MATH,MATH_V 316,,,,,,,,
MATH,MATH_V 317,,,,,,,,
MATH,MATH_V 319,,,,,,,,
MATH,MATH_V 320,,,,,,,,
MATH,MATH_V 322,,,,,,,,
